ID,Customer,RequestedParts
1,John Doe,(2 9)
2,Jane Smith,(10 4)-(7 1)
3,ABC Company,(5 8)-(3 6)-(1 10)
4,XYZ Corporation,(9 5)
5,Alice Johnson,(4 2)-(8 3)
6,Bob Enterprises,(7 6)-(1 5)
7,Eve Ltd.,(10 9)-(3 7)-(6 4)
8,Sam Industries,(8 3)-(2 10)-(5 1)
9,Sara Corp.,(1 6)-(4 8)
10,David Brown,(9 7)
11,PQR Inc.,(3 2)-(10 1)
12,LMN Group,(8 9)-(7 6)-(4 5)
13,Mary White,(2 1)-(5 4)
14,RobCo,(6 10)
15,Michael Ltd.,(1 8)-(9 3)-(4 7)
16,Emily Enterprises,(2 5)-(10 8)
17,Thomas and Sons,(3 1)
18,Jennifer Ltd.,(7 4)-(6 2)
19,GreenTech,(5 10)-(8 7)-(9 6)
20,XYZ Corp.,(4 9)
21,Steve Brown,(1 3)-(2 10)-(7 5)
22,ABC Inc.,(6 8)
23,Johnson Enterprises,(10 2)-(3 4)-(5 9)
24,Doe Corporation,(9 7)-(8 5)
25,Fiona Smith,(2 6)-(4 3)
26,Jack Ltd.,(1 7)-(6 1)
27,Caroline and Co.,(10 10)-(5 3)-(8 2)
28,Miller Enterprises,(9 9)-(7 8)
29,Max & Co.,(3 10)-(4 6)-(2 7)
30,Smith Industries,(1 5)
31,Samantha Corp.,(6 3)-(9 1)-(8 8)
32,Williams Ltd.,(2 4)-(5 2)
33,James & Co.,(10 6)-(3 9)-(4 1)
34,Walter Group,(7 7)-(1 4)-(6 5)
35,Sophia Enterprises,(8 9)-(2 8)
36,Mia & Co.,(5 7)-(10 2)
37,Green Corporation,(3 8)
38,Johnson and Sons,(4 10)-(6 4)-(7 3)
39,Laura Ltd.,(1 5)-(9 6)
40,Harper Industries,(8 1)
41,Noah Enterprises,(2 3)-(5 10)-(10 7)
42,Harrison Corp.,(4 5)-(6 1)-(3 9)
43,Cooper & Co.,(7 6)
44,Sofia & Sons,(8 7)-(1 2)-(9 4)
45,Clark Ltd.,(2 10)-(5 3)-(10 1)
46,Olivia Ltd.,(6 9)-(3 10)-(8 6)
47,Jackson & Co.,(4 7)-(9 8)
48,Williams Corp.,(1 1)-(7 5)-(2 6)
49,Isabella Ltd.,(5 4)-(10 5)-(3 2)
50,Lucas Enterprises,(6 7)
51,Taylor & Co.,(2 7)-(8 8)-(4 9)
52,Gray Corporation,(9 3)
53,Charlotte and Sons,(1 7)-(5 6)-(10 6)
54,Ethan Group,(3 1)-(6 10)
55,Ava Inc.,(4 8)-(7 2)
56,Logan Ltd.,(9 2)
57,Zoe Ltd.,(10 3)-(1 4)-(8 5)
58,David Smith,(2 5)-(5 9)
59,Stella Corporation,(4 3)-(7 1)-(9 7)
60,Aiden Enterprises,(6 6)-(3 5)-(10 10)
61,Hailey Group,(2 4)
62,Leo and Co.,(8 10)-(1 3)
63,Ella and Sons,(9 9)-(7 6)
64,Jackson Enterprises,(5 5)-(4 6)-(6 8)
65,Scarlett Ltd.,(10 4)-(3 7)-(1 2)
66,William and Co.,(9 1)-(8 7)
67,Madison Corporation,(2 2)-(5 3)-(4 8)
68,Henry Group,(6 4)
69,Aria and Sons,(7 7)-(10 10)-(1 10)
70,Mason Inc.,(9 4)-(3 2)
71,Chloe Ltd.,(8 8)-(2 1)
72,Sebastian Ltd.,(5 6)-(6 9)-(4 10)
73,Lily Enterprises,(7 3)-(1 6)
74,Gabriel Enterprises,(10 5)-(8 2)
75,Sophie Corp.,(9 10)-(2 8)-(3 4)
76,Nathan and Sons,(5 10)-(6 3)-(1 5)
77,Riley Corporation,(7 2)
78,Grace and Co.,(4 4)-(9 6)
79,Lucas & Co.,(10 9)-(8 4)-(2 3)
80,Zoey Ltd.,(1 1)-(5 8)-(6 10)
81,Eli Enterprises,(2 8)-(3 3)
82,Aurora Ltd.,(7 5)-(4 7)-(9 8)
83,Levi Industries,(10 7)-(6 7)-(2 10)
84,Addison Enterprises,(1 10)-(8 6)
85,James Corporation,(5 2)-(4 9)-(3 6)
86,Luna Ltd.,(7 4)-(10 2)-(9 1)
87,Oliver & Co.,(6 5)-(1 4)
88,Skylar and Sons,(8 5)-(2 9)-(5 4)
89,Victoria Corp.,(3 10)-(4 3)
90,Lincoln Group,(9 7)-(10 3)
91,Bella Ltd.,(7 8)-(6 1)
92,Jack Smith,(5 3)-(8 9)-(1 2)
93,Amelia Enterprises,(2 7)-(4 1)
94,Gray Ltd.,(9 10)-(3 5)-(10 6)
95,Lucy and Sons,(8 10)-(7 7)-(6 8)
96,Daniel Corp.,(1 7)-(2 1)
97,Evelyn Ltd.,(4 5)-(9 2)-(5 7)
98,Logan and Co.,(10 8)-(3 8)-(6 6)
99,Alexis Enterprises,(7 10)-(2 5)-(1 6)
100,Aiden Smith,(4 10)-(5 6)-(8 7)
106,Sophia Enterprises,(8 7)-(4 9)-(2 10)-(6 6)-(1 5)-(5 2)
107,Eli Enterprises,(10 7)-(3 1)-(9 8)-(5 3)-(8 6)-(4 4)-(7 2)
108,Aurora Ltd.,(1 8)-(6 3)-(2 4)-(7 4)-(10 2)-(5 6)-(9 10)-(3 9)
109,Levi Industries,(8 5)-(4 10)-(7 3)-(2 2)-(10 9)-(6 8)-(1 6)-(5 7)
110,Bella Ltd.,(3 7)-(9 9)-(8 8)-(1 2)-(6 9)-(2 8)-(10 3)-(5 8)
